epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
34,6812.67,0.8317,0.37292,0.02664,0.08659,0.88643,0.89689,0.9063,0.5862,1.29802,1.12809,0.02401,0.11933,0.0006733,0.0006733,0.0006733,0.5862,0
35,6999.23,0.83439,0.37064,0.02598,0.09106,0.90015,0.87524,0.89366,0.5827,1.30109,1.09245,0.02441,0.12392,0.0006634,0.0006634,0.0006634,0.5827,0
36,7183.16,0.82549,0.3656,0.02645,0.08892,0.89636,0.88321,0.89904,0.58873,1.26103,1.06216,0.02387,0.11438,0.0006535,0.0006535,0.0006535,0.58873,0
37,7370.1,0.83308,0.37116,0.02681,0.09406,0.86337,0.88744,0.87566,0.55232,1.30335,1.17954,0.02315,0.12988,0.0006436,0.0006436,0.0006436,0.55232,0
38,7564.09,0.82674,0.36344,0.02533,0.09077,0.8836,0.88207,0.91402,0.58768,1.29949,1.1144,0.02246,0.12695,0.0006337,0.0006337,0.0006337,0.58768,0
39,7758.48,0.824,0.36374,0.02518,0.08607,0.87787,0.87465,0.8669,0.55819,1.33184,1.18305,0.02297,0.12439,0.0006238,0.0006238,0.0006238,0.55819,0
40,7948.34,0.81368,0.3599,0.02593,0.08728,0.88806,0.86581,0.87986,0.5586,1.30591,1.21961,0.02437,0.13986,0.0006139,0.0006139,0.0006139,0.5586,0
41,8133.83,0.81195,0.35265,0.02564,0.08491,0.89564,0.86464,0.88019,0.57774,1.32299,1.16846,0.02353,0.13097,0.000604,0.000604,0.000604,0.57774,0
42,8329.29,0.8006,0.35811,0.02581,0.08497,0.89595,0.85682,0.90941,0.59586,1.26893,1.16672,0.02287,0.12233,0.0005941,0.0005941,0.0005941,0.59586,0
43,8516.5,0.8052,0.356,0.02537,0.08319,0.89682,0.86643,0.89989,0.58945,1.26536,1.16761,0.02281,0.13197,0.0005842,0.0005842,0.0005842,0.58945,0
44,8707.32,0.80568,0.35356,0.0258,0.08562,0.87829,0.8894,0.88641,0.5777,1.28639,1.21692,0.02354,0.13131,0.0005743,0.0005743,0.0005743,0.5777,0
45,8900.26,0.79948,0.36154,0.0262,0.08216,0.92439,0.86692,0.91558,0.60823,1.28828,1.0535,0.02306,0.12486,0.0005644,0.0005644,0.0005644,0.60823,0
46,9091,0.78892,0.35062,0.02526,0.08105,0.90518,0.86855,0.91183,0.59107,1.29475,1.162,0.02326,0.14378,0.0005545,0.0005545,0.0005545,0.59107,0
47,9278.08,0.78324,0.34139,0.02406,0.08034,0.88947,0.88255,0.88943,0.57734,1.26559,1.22455,0.02284,0.12448,0.0005446,0.0005446,0.0005446,0.57734,0
48,9468.04,0.78833,0.34767,0.02496,0.07961,0.88189,0.89153,0.89161,0.58276,1.27562,1.21663,0.02277,0.11849,0.0005347,0.0005347,0.0005347,0.58276,0
49,9661.11,0.78312,0.34951,0.02487,0.07986,0.88823,0.89168,0.92123,0.604,1.20466,1.01672,0.02148,0.12248,0.0005248,0.0005248,0.0005248,0.604,0
50,9848.6,0.78267,0.34127,0.02431,0.08058,0.91714,0.8819,0.92042,0.61281,1.21916,1.21058,0.023,0.12486,0.0005149,0.0005149,0.0005149,0.61281,0
