epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
38,7704.75,0.88025,0.37214,0.00634,0.9062,0.86082,0.89961,0.49635,1.68179,1.19615,0.01167,0.0006337,0.0006337,0.0006337,0.49635,0
39,7901.42,0.87377,0.37274,0.00627,0.90145,0.87317,0.91182,0.49845,1.70755,1.07905,0.01179,0.0006238,0.0006238,0.0006238,0.49845,0
40,8099.74,0.86581,0.36544,0.00626,0.91027,0.86724,0.90265,0.50535,1.64925,1.14014,0.01142,0.0006139,0.0006139,0.0006139,0.50535,0
41,8302.06,0.85245,0.35759,0.00606,0.8857,0.87457,0.89407,0.49341,1.64445,1.08827,0.01151,0.000604,0.000604,0.000604,0.49341,0
42,8501.9,0.83678,0.35732,0.00598,0.91712,0.86398,0.91301,0.50361,1.57811,1.06078,0.01087,0.0005941,0.0005941,0.0005941,0.50361,0
43,8702.34,0.855,0.34547,0.00614,0.91046,0.85796,0.89009,0.49372,1.63545,1.0999,0.01139,0.0005842,0.0005842,0.0005842,0.49372,0
44,8911.02,0.8341,0.34086,0.00599,0.90961,0.87043,0.91038,0.50274,1.63975,1.12172,0.01135,0.0005743,0.0005743,0.0005743,0.50274,0
45,9104.85,0.83447,0.34271,0.00594,0.91665,0.86167,0.89696,0.49535,1.64873,1.11273,0.0116,0.0005644,0.0005644,0.0005644,0.49535,0
46,9309.59,0.82786,0.34818,0.00597,0.88802,0.85899,0.89577,0.50008,1.64174,1.26917,0.01135,0.0005545,0.0005545,0.0005545,0.50008,0
47,9510.31,0.82851,0.33562,0.00588,0.88737,0.856,0.88969,0.50106,1.64183,1.15244,0.01121,0.0005446,0.0005446,0.0005446,0.50106,0
48,9707.08,0.8202,0.34078,0.00588,0.89482,0.83401,0.88536,0.49226,1.65725,1.15688,0.01137,0.0005347,0.0005347,0.0005347,0.49226,0
