epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
39,386.468,1.14032,1.24011,0.00663,0.3464,0.57143,0.37241,0.22655,0.30848,1.50869,0.00153,0.0008119,0.0008119,0.0008119,0.22655,0
40,395.923,1.12394,1.2928,0.0063,1,0.40888,0.53601,0.24917,0.35123,1.43525,0.00198,0.00080695,0.00080695,0.00080695,0.24917,0
41,405.18,1.1662,1.14525,0.00649,0.59771,0.42857,0.51868,0.35438,0.26743,1.33737,0.00126,0.000802,0.000802,0.000802,0.35438,0
42,414.579,1.0887,1.26699,0.00592,0.54113,0.28571,0.35254,0.24839,0.25681,1.35744,0.00128,0.00079705,0.00079705,0.00079705,0.24839,0
43,424.235,1.31622,1.28195,0.00744,0.96362,0.28571,0.41049,0.18931,0.2987,1.34119,0.00139,0.0007921,0.0007921,0.0007921,0.18931,0
44,433.648,1.09045,1.24919,0.00612,0.64232,0.28571,0.35005,0.1439,0.34486,1.50682,0.00187,0.00078715,0.00078715,0.00078715,0.1439,0
45,442.903,1.30555,1.20874,0.00699,0.6665,0.28558,0.28243,0.16059,0.27595,1.46966,0.00133,0.0007822,0.0007822,0.0007822,0.16059,0
46,452.241,1.09709,0.91285,0.0059,0.42503,0.42326,0.30664,0.22193,0.27045,1.24787,0.00129,0.00077725,0.00077725,0.00077725,0.22193,0
47,461.702,1.40311,1.07829,0.00736,0.56346,0.42857,0.48651,0.33637,0.26115,1.12641,0.00132,0.0007723,0.0007723,0.0007723,0.33637,0
48,471.168,1.28259,1.01195,0.00703,0.95837,0.42857,0.53329,0.36175,0.25895,1.08911,0.00128,0.00076735,0.00076735,0.00076735,0.36175,0
49,480.592,1.36052,1.11619,0.00773,0.94193,0.28571,0.43901,0.22702,0.31777,1.13093,0.00156,0.0007624,0.0007624,0.0007624,0.22702,0
50,489.93,1.18408,0.99757,0.00645,0.38939,0.28571,0.28272,0.14253,0.3426,1.32105,0.00206,0.00075745,0.00075745,0.00075745,0.14253,0
51,499.332,1.43368,1.01714,0.00759,0.47095,0.28571,0.17538,0.07797,0.27844,1.50944,0.00134,0.0007525,0.0007525,0.0007525,0.07797,0
52,508.667,1.24517,1.15864,0.00686,0.3854,0.28571,0.1585,0.08958,0.30345,1.27421,0.00141,0.00074755,0.00074755,0.00074755,0.08958,0
53,517.952,1.32423,1.15501,0.00792,0.47406,0.42857,0.35442,0.21742,0.30475,1.02926,0.0016,0.0007426,0.0007426,0.0007426,0.21742,0
54,527.3,1.2307,1.08555,0.00663,0.96714,0.42857,0.50075,0.27543,0.33396,0.95606,0.00168,0.00073765,0.00073765,0.00073765,0.27543,0
55,536.802,1.20669,1.01078,0.0069,0.47698,0.42857,0.43027,0.23423,0.35175,0.89803,0.00176,0.0007327,0.0007327,0.0007327,0.23423,0
56,546.517,1.05733,0.91797,0.00592,0.47243,0.42857,0.31486,0.1999,0.31551,0.88986,0.00153,0.00072775,0.00072775,0.00072775,0.1999,0
57,555.843,1.20305,1.03351,0.00675,0.8718,0.28571,0.45224,0.28435,0.30448,0.84814,0.00154,0.0007228,0.0007228,0.0007228,0.28435,0
58,565.443,1.3217,0.99244,0.00748,0.55883,0.42857,0.4988,0.28989,0.30452,0.81547,0.00151,0.00071785,0.00071785,0.00071785,0.28989,0
59,575.062,1.27158,0.99274,0.00693,0.57724,0.57143,0.57458,0.33861,0.30225,0.79921,0.00159,0.0007129,0.0007129,0.0007129,0.33861,0
60,584.229,1.08133,0.95783,0.00586,1,0.415,0.54751,0.33495,0.28779,0.87365,0.00158,0.00070795,0.00070795,0.00070795,0.33495,0
61,593.497,1.03021,0.94454,0.00564,0.95738,0.28571,0.44945,0.27063,0.3211,0.85376,0.00179,0.000703,0.000703,0.000703,0.27063,0
62,602.884,1.17765,0.96398,0.00632,0.43917,0.57143,0.46529,0.26513,0.33614,0.88334,0.00187,0.00069805,0.00069805,0.00069805,0.26513,0
63,612.206,1.17676,0.97047,0.0065,0.77599,0.28571,0.3654,0.20255,0.32231,1.01153,0.00175,0.0006931,0.0006931,0.0006931,0.20255,0
64,621.729,1.35703,1.17632,0.0073,0.89429,0.28571,0.36072,0.25201,0.28314,1.09028,0.00156,0.00068815,0.00068815,0.00068815,0.25201,0
65,631.085,1.23877,0.92808,0.00656,1,0.28353,0.3558,0.27222,0.26936,1.0139,0.00146,0.0006832,0.0006832,0.0006832,0.27222,0
66,640.4,1.22271,0.9666,0.00702,0.95672,0.28571,0.37077,0.23491,0.30572,0.98399,0.00148,0.00067825,0.00067825,0.00067825,0.23491,0
67,649.774,1.15371,0.75918,0.0067,0.72306,0.42857,0.49,0.28422,0.29727,1.04192,0.0015,0.0006733,0.0006733,0.0006733,0.28422,0
68,659.127,1.03823,0.92535,0.00584,0.60758,0.71429,0.60445,0.35721,0.31664,0.74719,0.00155,0.00066835,0.00066835,0.00066835,0.35721,0
69,668.632,1.13385,0.75046,0.00642,0.76649,0.71429,0.68454,0.39729,0.33831,0.61735,0.00176,0.0006634,0.0006634,0.0006634,0.39729,0
70,677.933,1.32096,0.81656,0.00702,0.94624,0.57143,0.69549,0.37389,0.32696,0.59015,0.00169,0.00065845,0.00065845,0.00065845,0.37389,0
71,687.141,1.27004,0.86359,0.00662,0.97332,0.57143,0.6765,0.35607,0.32527,0.59624,0.0017,0.0006535,0.0006535,0.0006535,0.35607,0
72,696.37,1.38657,0.67962,0.00753,0.98559,0.57143,0.63922,0.37044,0.3163,0.62242,0.00164,0.00064855,0.00064855,0.00064855,0.37044,0
