epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1001.99,1.21923,0.95532,0.00624,0.90877,0.79545,0.89083,0.45945,1.72546,1.12863,0.00868,0.0005941,0.0005941,0.0005941
43,1024.13,1.27376,0.96548,0.00674,0.90442,0.79895,0.88873,0.44204,1.79988,1.1411,0.00918,0.0005842,0.0005842,0.0005842
44,1046.39,1.26761,0.96396,0.0066,0.88757,0.80051,0.88903,0.47434,1.70128,1.07799,0.00865,0.0005743,0.0005743,0.0005743
45,1068.72,1.2538,0.9403,0.00645,0.9117,0.79424,0.89039,0.48752,1.63683,1.06297,0.00823,0.0005644,0.0005644,0.0005644
46,1091.12,1.2428,0.923,0.00619,0.92435,0.76049,0.88641,0.48153,1.61608,1.07274,0.00792,0.0005545,0.0005545,0.0005545
47,1113.47,1.37575,0.97826,0.00727,0.91984,0.74476,0.88851,0.47722,1.62573,1.07256,0.00793,0.0005446,0.0005446,0.0005446
48,1135.62,1.32583,0.96197,0.00682,0.88884,0.80769,0.89838,0.48654,1.61289,1.03382,0.00799,0.0005347,0.0005347,0.0005347
49,1157.87,1.27599,0.91486,0.00646,0.9194,0.80594,0.90267,0.4823,1.64419,1.04241,0.00821,0.0005248,0.0005248,0.0005248
50,1180.29,1.28307,0.91753,0.00695,0.89524,0.81993,0.90001,0.46016,1.72437,1.06977,0.00874,0.0005149,0.0005149,0.0005149
51,1202.47,1.25998,0.93738,0.00686,0.88151,0.82517,0.90027,0.46031,1.72587,1.06592,0.0088,0.000505,0.000505,0.000505
52,1224.84,1.25399,0.88732,0.00668,0.90676,0.8007,0.89957,0.49899,1.58069,1.03271,0.00784,0.0004951,0.0004951,0.0004951
53,1247.84,1.21055,0.89015,0.00625,0.89141,0.78671,0.88585,0.48127,1.59856,1.05226,0.00778,0.0004852,0.0004852,0.0004852
54,1270.72,1.25524,0.87909,0.00633,0.85516,0.78322,0.86363,0.43712,1.7525,1.11742,0.00841,0.0004753,0.0004753,0.0004753
55,1292.9,1.28245,0.87878,0.00662,0.86815,0.77972,0.86261,0.43567,1.75324,1.11802,0.00841,0.0004654,0.0004654,0.0004654
56,1315.32,1.21347,0.85476,0.00618,0.87202,0.78622,0.87421,0.48316,1.59016,1.05455,0.00772,0.0004555,0.0004555,0.0004555
57,1338.31,1.21205,0.87017,0.00626,0.89076,0.78846,0.88715,0.50021,1.56042,1.0281,0.00763,0.0004456,0.0004456,0.0004456
58,1360.89,1.23277,0.87237,0.00651,0.90482,0.81433,0.90458,0.49836,1.60339,1.01707,0.00792,0.0004357,0.0004357,0.0004357
59,1383.45,1.18924,0.85631,0.00633,0.89643,0.81715,0.90769,0.50392,1.59398,0.99871,0.00787,0.0004258,0.0004258,0.0004258
60,1406.85,1.25521,0.86679,0.00637,0.90207,0.81818,0.90722,0.52084,1.52686,0.97313,0.00746,0.0004159,0.0004159,0.0004159
61,1428.64,1.19636,0.82075,0.00618,0.89012,0.82138,0.90185,0.51676,1.52821,0.97838,0.00743,0.000406,0.000406,0.000406
62,1450.85,1.25489,0.86356,0.00633,0.87147,0.82517,0.90038,0.50559,1.5502,0.99323,0.00751,0.0003961,0.0003961,0.0003961
63,1474.45,1.19208,0.81967,0.00593,0.87815,0.82168,0.89911,0.50793,1.54672,0.9878,0.0075,0.0003862,0.0003862,0.0003862
64,1497.28,1.1565,0.79429,0.0059,0.88765,0.82692,0.90313,0.51853,1.52637,0.97755,0.00741,0.0003763,0.0003763,0.0003763
65,1521.46,1.20275,0.81376,0.00608,0.88198,0.82168,0.90001,0.51783,1.51534,0.97405,0.0074,0.0003664,0.0003664,0.0003664
66,1545.02,1.20762,0.82417,0.00629,0.87931,0.83566,0.89961,0.51859,1.52814,0.9828,0.00752,0.0003565,0.0003565,0.0003565
