epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5419,1.66296,56.524,0.00935,0,0,0,0,0.42345,71.3861,0.00287,0.000314815,0.000314815,0.0688333
2,33.2934,1.50085,19.6339,0.00944,0,0,0,0,0.32366,32.9216,0.00181,0.000641731,0.000641731,0.0358269
3,42.0932,1.40493,13.4497,0.00773,0,0,0,0,0.26837,27.6647,0.00125,0.000962048,0.000962048,0.0028139
4,50.9026,1.25609,10.4103,0.00706,2e-05,0.42857,0.08592,0.05501,0.27843,27.0506,0.00145,0.0009703,0.0009703,0.0009703
5,59.9522,1.50125,9.97248,0.00802,0.25679,0.14286,0.14231,0.0955,0.23318,25.6153,0.00114,0.0009604,0.0009604,0.0009604
6,68.9054,1.30179,8.82997,0.00709,0.39828,0.28407,0.22563,0.14709,0.23425,23.48,0.00117,0.0009505,0.0009505,0.0009505
7,78.0611,1.28853,7.99265,0.0072,0.50473,0.28571,0.27615,0.13438,0.25335,21.4517,0.00121,0.0009406,0.0009406,0.0009406
8,87.122,1.27145,7.22396,0.00678,0.5547,0.42857,0.37074,0.18554,0.30414,18.3894,0.00144,0.0009307,0.0009307,0.0009307
9,96.7783,1.42212,6.90047,0.00806,0.65719,0.27759,0.2164,0.07994,0.33138,16.5284,0.00162,0.0009208,0.0009208,0.0009208
10,108.312,1.40887,6.34458,0.00824,0.23207,0.42857,0.15171,0.0512,0.32653,14.3557,0.00156,0.0009109,0.0009109,0.0009109
11,119.448,1.1326,6.23525,0.00625,0.20011,0.28571,0.19681,0.10534,0.26973,12.5419,0.00128,0.000901,0.000901,0.000901
12,130.062,1.39851,5.50233,0.00789,0.29266,0.14286,0.13384,0.08101,0.28866,11.584,0.00135,0.0008911,0.0008911,0.0008911
13,140.921,1.08859,5.01136,0.00626,0.35317,0.42857,0.32549,0.18614,0.2778,10.4276,0.00141,0.0008812,0.0008812,0.0008812
14,151.528,1.33704,4.82505,0.00742,0.7412,0.28571,0.34121,0.16519,0.30095,9.86336,0.00163,0.0008713,0.0008713,0.0008713
15,162.668,1.344,4.45918,0.00755,0.42701,0.42857,0.32604,0.16501,0.29499,9.17134,0.00149,0.0008614,0.0008614,0.0008614
16,173.218,1.36706,4.08875,0.00704,0.73971,0.42857,0.40023,0.25007,0.28853,8.37952,0.00141,0.0008515,0.0008515,0.0008515
17,183.672,1.27126,3.9712,0.00703,0.5933,0.57143,0.49642,0.29426,0.30823,7.38761,0.00157,0.0008416,0.0008416,0.0008416
18,194.12,1.34152,3.91333,0.00801,0.65002,0.57143,0.4826,0.25594,0.29551,6.88516,0.00148,0.0008317,0.0008317,0.0008317
19,204.679,1.21034,3.37538,0.00685,0.60384,0.28571,0.32756,0.15112,0.32092,6.67003,0.00167,0.0008218,0.0008218,0.0008218
20,215.37,1.26844,3.06941,0.00684,0.38952,0.42857,0.27066,0.14738,0.26577,6.64978,0.00133,0.0008119,0.0008119,0.0008119
21,226.21,1.42898,2.93648,0.00822,0.43782,0.42857,0.39694,0.22348,0.29106,6.04028,0.00152,0.000802,0.000802,0.000802
22,236.719,1.2836,2.69496,0.00708,0.35472,0.42857,0.29414,0.14685,0.27709,5.70872,0.00132,0.0007921,0.0007921,0.0007921
23,246.355,1.26785,2.62266,0.00661,0.64487,0.26703,0.26875,0.13503,0.34537,4.91218,0.00185,0.0007822,0.0007822,0.0007822
24,255.546,1.22527,2.31825,0.00655,0.36054,0.28571,0.19293,0.11594,0.30235,4.71106,0.00156,0.0007723,0.0007723,0.0007723
25,264.715,1.58336,2.50533,0.00928,0.42104,0.42857,0.21009,0.1312,0.28577,4.33221,0.0016,0.0007624,0.0007624,0.0007624
26,273.824,1.30834,2.42419,0.00728,0.56704,0.42857,0.33235,0.20086,0.2892,3.95202,0.00154,0.0007525,0.0007525,0.0007525
27,282.854,1.28691,2.00449,0.00686,0.59386,0.4198,0.34533,0.20378,0.28847,3.70023,0.00141,0.0007426,0.0007426,0.0007426
28,292.807,1.41602,2.23966,0.00792,0.63292,0.28571,0.24457,0.11208,0.29864,3.61769,0.00151,0.0007327,0.0007327,0.0007327
29,302.913,1.44857,2.08311,0.00784,0.62909,0.28571,0.24871,0.09367,0.30367,3.56097,0.00153,0.0007228,0.0007228,0.0007228
30,312.127,1.35145,1.94913,0.00756,0.55486,0.28571,0.28478,0.12774,0.27131,3.32644,0.00137,0.0007129,0.0007129,0.0007129
31,321.332,1.39654,2.10002,0.00781,0.59587,0.42267,0.40031,0.21009,0.32029,2.94098,0.00165,0.000703,0.000703,0.000703
32,330.318,1.27249,1.82298,0.00711,0.56022,0.42857,0.47321,0.18722,0.34982,2.8266,0.00179,0.0006931,0.0006931,0.0006931
33,339.495,1.31821,1.87861,0.00749,0.71315,0.42857,0.495,0.12563,0.37012,2.93516,0.00199,0.0006832,0.0006832,0.0006832
34,348.499,1.21426,1.79252,0.00693,0.58607,0.57143,0.51176,0.15962,0.3518,2.83632,0.00182,0.0006733,0.0006733,0.0006733
35,357.387,1.30258,1.64351,0.00713,0.73328,0.42857,0.38811,0.20043,0.36309,2.46051,0.0019,0.0006634,0.0006634,0.0006634
36,366.27,1.0781,1.40707,0.00553,0.63307,0.28571,0.28585,0.17346,0.29427,2.54604,0.00154,0.0006535,0.0006535,0.0006535
37,375.205,1.20935,1.77345,0.00645,0.44516,0.28571,0.16222,0.09283,0.26859,2.58695,0.00135,0.0006436,0.0006436,0.0006436
